game_status,game_date,home_team,away_team,home_score,away_score,game_id,HP,first_base,second_base,third_base,game_time,audience
1,19900317,兄弟,統一7-ELEVEn獅,3,4,199001001,葉南輝,林朝琴,周駿勝,李志元,171,14350
1,19900317,三商,味全龍,3,0,199001002,林朝琴,葉南輝,李柏河,許榮龍,138,5783
1,19900318,三商,兄弟,3,1,199001003,葉南輝,李志元,林朝琴,李柏河,175,4724
1,19900318,統一7-ELEVEn獅,味全龍,1,6,199001004,林朝琴,葉南輝,周駿勝,許榮龍,210,4500
1,19900322,兄弟,統一7-ELEVEn獅,6,0,199001005,林朝琴,葉南輝,李志元,周駿勝,132,7666
1,19900323,三商,味全龍,6,12,199001006,葉南輝,李柏河,許榮龍,林朝琴,222,7351
1,19900324,三商,兄弟,7,6,199001007,林朝琴,許榮龍,李柏河,葉南輝,162,5643
1,19900324,統一7-ELEVEn獅,味全龍,4,6,199001008,李志元,葉南輝,周駿勝,林朝琴,158,7173
1,19900325,三商,統一7-ELEVEn獅,5,0,199001009,葉南輝,李志元,李柏河,周駿勝,159,5958
1,19900325,兄弟,味全龍,3,4,199001010,林朝琴,周駿勝,許榮龍,李柏河,142,8945
1,19900329,三商,兄弟,7,1,199001011,葉南輝,林朝琴,李柏河,周駿勝,155,10000
1,19900330,統一7-ELEVEn獅,味全龍,1,2,199001012,林朝琴,李柏河,許榮龍,李志元,160,4494
1,19900331,三商,統一7-ELEVEn獅,3,1,199001013,李志元,許榮龍,周駿勝,林朝琴,150,3142
1,19900331,兄弟,味全龍,3,2,199001014,葉南輝,周駿勝,李柏河,李志元,139,6404
1,19900401,味全龍,三商,2,1,199001015,林朝琴,葉南輝,許榮龍,李志元,144,5652
1,19900401,統一7-ELEVEn獅,兄弟,3,4,199001016,李柏河,李志元,周駿勝,林朝琴,161,5360
1,19900404,味全龍,兄弟,4,6,199001017,葉南輝,李柏河,李志元,許榮龍,202,6541
1,19900405,統一7-ELEVEn獅,三商,3,12,199001018,林朝琴,許榮龍,周駿勝,李柏河,175,5104
1,19900405,兄弟,三商,4,4,199001019,李志元,葉南輝,許榮龍,李聰智,180,9585
1,19900406,味全龍,統一7-ELEVEn獅,6,11,199001020,林朝琴,李志元,李柏河,周駿勝,182,2501
1,19900407,統一7-ELEVEn獅,兄弟,1,2,199001021,葉南輝,李柏河,周駿勝,許榮龍,131,5158
1,19900407,味全龍,三商,13,2,199001022,林朝琴,李志元,李柏河,李聰智,195,9404
1,19900408,兄弟,味全龍,3,2,199001023,林朝琴,周駿勝,李志元,李柏河,186,15222
1,19900408,三商,統一7-ELEVEn獅,0,5,199001024,葉南輝,李柏河,許榮龍,李聰智,167,4594
1,19900418,統一7-ELEVEn獅,三商,1,5,199001025,李志元,葉南輝,李柏河,許榮龍,176,4880
1,19900413,味全龍,兄弟,12,0,199001026,葉南輝,林朝琴,許榮龍,李志元,162,8020
1,19900414,兄弟,三商,3,5,199001027,林朝琴,葉南輝,李柏河,李聰智,169,6414
1,19900414,味全龍,統一7-ELEVEn獅,0,3,199001028,李志元,許榮龍,李聰智,葉南輝,177,2613
1,19900425,統一7-ELEVEn獅,兄弟,2,13,199001029,林朝琴,李志元,許榮龍,李柏河,194,4093
1,19900502,味全龍,三商,1,2,199001030,葉南輝,李柏河,周駿勝,許榮龍,172,9321
1,19900509,三商,味全龍,5,1,199001031,林朝琴,李志元,許榮龍,李柏河,129,3780
1,19900530,兄弟,統一7-ELEVEn獅,3,4,199001032,林朝琴,李志元,許榮龍,李柏河,170,3519
1,19900421,統一7-ELEVEn獅,三商,0,10,199001033,林朝琴,李志元,周駿勝,許榮龍,153,7579
1,19900421,味全龍,兄弟,5,3,199001034,葉南輝,李柏河,許榮龍,李志元,149,6826
1,19900422,兄弟,三商,2,3,199001035,葉南輝,林朝琴,許榮龍,周駿勝,180,5983
1,19900422,味全龍,統一7-ELEVEn獅,4,0,199001036,李志元,李柏河,林朝琴,許榮龍,160,4125
1,19900426,兄弟,統一7-ELEVEn獅,3,4,199001037,李志元,葉南輝,周駿勝,許榮龍,176,2898
1,19900427,三商,味全龍,4,3,199001038,林朝琴,李志元,周駿勝,李柏河,129,6903
1,19900428,三商,兄弟,4,4,199001039,林朝琴,葉南輝,李柏河,周駿勝,176,9065
1,19900428,統一7-ELEVEn獅,味全龍,2,4,199001040,李志元,許榮龍,李柏河,葉南輝,154,4957
1,19900429,三商,統一7-ELEVEn獅,8,4,199001041,葉南輝,李志元,周駿勝,李柏河,158,5571
1,19900429,兄弟,味全龍,5,2,199001042,林朝琴,許榮龍,李柏河,李志元,145,16000
1,19900503,三商,兄弟,5,4,199001043,林朝琴,李志元,許榮龍,周駿勝,150,7742
1,19900504,統一7-ELEVEn獅,味全龍,6,3,199001044,李志元,許榮龍,葉南輝,周駿勝,162,4059
1,19900523,三商,統一7-ELEVEn獅,8,3,199001045,葉南輝,李柏河,周駿勝,許榮龍,161,4425
1,19900613,兄弟,味全龍,1,9,199001046,李志元,林朝琴,許榮龍,李柏河,148,6692
1,19900506,味全龍,三商,3,5,199001047,林朝琴,李志元,許榮龍,葉南輝,179,7801
1,19900506,統一7-ELEVEn獅,兄弟,0,2,199001048,李志元,林朝琴,周駿勝,葉南輝,143,6263
1,19900510,三商,統一7-ELEVEn獅,13,3,199001049,李志元,葉南輝,周駿勝,許榮龍,148,2811
1,19900511,兄弟,味全龍,2,9,199001050,林朝琴,葉南輝,李柏河,許榮龍,174,6047
1,19900512,味全龍,三商,3,4,199001051,李志元,林朝琴,周駿勝,許榮龍,174,4088
1,19900512,統一7-ELEVEn獅,兄弟,0,1,199001052,葉南輝,林朝琴,許榮龍,李柏河,177,3756
1,19900513,味全龍,統一7-ELEVEn獅,2,5,199001053,林朝琴,葉南輝,周駿勝,李柏河,182,2617
1,19900513,兄弟,三商,8,4,199001054,李志元,李柏河,許榮龍,葉南輝,172,7938
1,19900517,統一7-ELEVEn獅,三商,2,4,199001055,葉南輝,李志元,周駿勝,許榮龍,197,3517
1,19900518,味全龍,兄弟,4,2,199001056,林朝琴,李志元,許榮龍,李柏河,172,5185
1,19900528,兄弟,三商,3,1,199001057,葉南輝,林朝琴,許榮龍,周駿勝,161,10873
1,19900606,味全龍,統一7-ELEVEn獅,0,2,199001058,葉南輝,李柏河,許榮龍,周駿勝,141,3169
1,19900520,統一7-ELEVEn獅,兄弟,9,5,199001059,李志元,李柏河,周駿勝,葉南輝,169,7030
1,19900520,味全龍,三商,2,0,199001060,林朝琴,李柏河,許榮龍,周駿勝,150,10140
1,19900524,三商,味全龍,5,6,199001061,林朝琴,李柏河,李志元,許榮龍,191,6558
1,19900525,兄弟,統一7-ELEVEn獅,5,3,199001062,李志元,葉南輝,許榮龍,周駿勝,172,4646
1,19900526,統一7-ELEVEn獅,三商,3,8,199001063,林朝琴,李柏河,許榮龍,周駿勝,188,2595
1,19900526,味全龍,兄弟,3,2,199001064,葉南輝,李志元,許榮龍,李柏河,157,7701
1,19900527,兄弟,三商,2,5,199001065,李志元,許榮龍,葉南輝,周駿勝,169,7578
1,19900527,味全龍,統一7-ELEVEn獅,7,2,199001066,林朝琴,李柏河,周駿勝,許榮龍,137,4062
1,19900531,統一7-ELEVEn獅,味全龍,2,12,199001067,李志元,葉南輝,周駿勝,許榮龍,190,2549
1,19900601,三商,兄弟,5,7,199001068,葉南輝,李柏河,許榮龍,李志元,186,6298
1,19900602,三商,味全龍,5,3,199001069,林朝琴,葉南輝,周駿勝,許榮龍,158,7784
1,19900602,兄弟,統一7-ELEVEn獅,5,10,199001070,李志元,李柏河,許榮龍,周駿勝,183,3691
1,19900620,統一7-ELEVEn獅,三商,2,4,199001071,林朝琴,葉南輝,周駿勝,李柏河,141,1122
1,19900619,味全龍,兄弟,6,15,199001072,李志元,許榮龍,李柏河,周駿勝,163,2611
