Year,most_hits_player_id,highest_batting_average_player_id,most_RBI_player_id,most_stolen_bases_player_id,homerun_leader_player_id
2024,5604,5604,4638,0779,6228
2023,6497,6497,6496,3639,4625
2022,6006,6006,2274,6507,0135
2021,5731,6006,6006,2688,4625
2020,6006,6006,6006,2688,4625
2019,4821,4821,0121,2688,2274
2018,0762,0121,4571,0135,0998
2017,0121,0121,0121,0135,1390
2016,0121,2702,0121,3606,3292
2015,0121,0121,0121,3606,3078
2014,3334,1196,3334,0739,0135
2013,0327,0121,0332,0737,0740
2012,2669,0119,2668,0737,3852
2011,3998,3998,0105,3167,3852
2010,0880,3998,0880,0721,3967
2009,0312,0312,2589,2609,0715
2008,0090,3020,0688,0092,2586
2007,2589,0697,2640,0708,0642
2006,0850,0850,0850,0257,0783
2005,3830,0821,0850,3952,2576
2004,3828,0821,0821,0499,Null
2003,0676,0209,2596,0265,Null
2002,3912,3912,3912,3880,Null
2001,3831,0668,0634,0197,Null
2000,0210,3828,0210,2575,Null
1999,3853,0210,3884,2536,Null
1998,0210,0209,3853,0499,Null
1997,2465,2479,0499,0499,Null
1996,2492,0499,0603,0603,Null
1995,2492,2488,2488,0385,Null
1994,0564,0190,2488,0385,Null
1993,2488,Null,0564,2492,Null
1992,0564,Null,0469,0469,Null
1991,0466,Null,0462,0175,Null
1990,0462,Null,0466,0175,Null
