name,player_unique_id,number,t_b,height,weight,born,debut,nationality,draft_order,position,team
安智輝,5,0,右投右打,181,100,1977-01-31,2003-03-08,中華民國,,投手,第一
葉賢文,4,0,右投右打,179,80,1974-04-08,2003-03-09,中華民國,,投手,第一
葉成龍,10,0,右投右打,180,80,1976-10-17,2003-03-08,中華民國,,三壘手,第一
陳峰民,7,41,右投右打,173,80,1977-10-29,2003-03-07,中華民國,,捕手,Lamigo
蔡昱詳,11,1,左投左打,183,95,1969-09-07,2003-03-07,中華民國,,一壘手,Lamigo
潘忠韋,12,44,右投右打,183,100,1976-08-10,2003-03-07,中華民國,,一壘手,Lamigo
許文雄,3,81,右投右打,183,105,1978-12-05,2003-03-08,中華民國,,投手,Lamigo
梁如豪,1,15,右投右打,185,85,1973-10-21,1996-04-26,中華民國,,投手,Lamigo
李風華,2,35,右投右打,173,83,1975-09-19,2003-03-07,中華民國,,投手,統一7-ELEVEn獅
呂俊雄,14,56,右投右打,182,81,1974-12-07,2003-03-07,中華民國,,左外野手,中信
陳昭穎,8,42,右投右打,172,77,1983-04-02,2003-03-08,中華民國,,捕手,Lamigo
王俊文,9,33,右投右打,178,80,1977-12-19,2003-03-13,中華民國,,二壘手,Lamigo
郭昌庭,13,11,右投右打,182,90,1979-01-11,2003-03-07,中華民國,,一壘手,Lamigo
黃龍義,16,30,右投右打,172,76,1979-02-20,2003-03-07,中華民國,,中外野手,Lamigo
許堯淵,19,8,右投右打,180,82,1978-01-14,2003-03-07,中華民國,,右外野手,Lamigo
邱新勇,15,9,右投右打,170,78,1984-03-28,2003-03-08,中華民國,,游擊手,第一
蘇立偉,6,0,右投右打,191,87,1980-06-09,2003-03-08,中華民國,,投手,中信
歐斯納,22,0,右投左打,183,89,1974-07-11,2003-03-07,多明尼加,,游擊手,第一
蔡士凡,21,34,右投右打,183,90,1976-10-03,2003-03-16,中華民國,,右外野手,中信
馬丁,23,0,右投右打,178,84,1972-11-19,2003-03-07,美國,,二壘手,第一
李以寶,18,0,右投右打,171,78,1968-10-10,2003-03-09,中華民國,,右外野手,第一
貝力,35,36,右投右打,188,95,1971-01-24,2004-03-04,美國,,投手,米迪亞
金東鎬,29,0,右投右打,183,80,1973-05-24,2003-06-14,韓國,,投手,第一
馬奎茲,36,0,右投右打,181,82,1973-04-21,2004-03-04,美國,,投手,Lamigo
石志偉,33,6,右投右打,180,85,1977-08-14,2004-03-04,中華民國,La new熊2004年第一輪,一壘手,Lamigo
林建宏,30,20,右投右打,175,80,1980-09-27,2003-06-21,中華民國,第一金剛2003年第一輪,游擊手,統一7-ELEVEn獅
尹景熙,28,0,右投右打,183,88,1980-08-12,2003-05-21,韓國,,投手,第一
卡文,24,0,右投右打,188,84,1978-03-07,2003-03-09,澳大利亞,,投手,第一
藍迪,26,0,右投右打,189,100,1975-09-11,2003-03-22,美國,,投手,第一
張民諺,34,2,右投左打,177,91,1981-01-20,2004-03-04,中華民國,,一壘手,中信兄弟
畢可,27,0,右投右打,186,90,1969-06-10,2003-03-29,美國,,投手,第一
雅哥,25,0,右投右打,188,98,1979-10-30,2003-03-16,委內瑞拉,,投手,第一
陳志明,17,0,右投右打,188,95,1978-12-25,2003-03-08,中華民國,,中外野手,第一
孟憲政,20,45,右投右打,175,87,1977-01-24,2003-07-17,中華民國,,投手,中信
許志昌,32,19,右投右打,178,78,1981-04-19,2005-10-01,中華民國,第一金剛2003年第二輪,投手,Lamigo
高力歐,31,0,左投左打,185,98,1977-03-28,2003-06-24,多明尼加,,投手,第一
徐余偉,38,12,左投左打,181,90,1979-07-18,2004-03-17,中華民國,La new熊2003年第二輪,投手,統一7-ELEVEn獅
蔡家宏,48,21,右投右打,177,78,1979-02-13,2004-09-14,中華民國,,投手,中信
劉松祚,42,0,右投右打,170,70,1979-09-29,,中華民國,La new熊2003年第十輪,捕手,Lamigo
萊特,44,5,右投右打,189,93,1977-06-06,2004-06-26,美國,,投手,Lamigo
沈亞倫,47,26,左投左打,180,80,1981-01-18,2004-09-02,中華民國,La new熊2003年第六輪,一壘手,Lamigo
蔡建偉,40,25,左投左打,179,91,1980-03-29,2004-04-13,中華民國,La new熊2003年第三輪,左外野手,Lamigo
入来智,39,0,右投右打,178,84,1967-06-03,2004-03-28,日本,,投手,Lamigo
曼尼,46,32,右投右打,191,95,1972-08-14,2004-07-27,美國,,投手,兄弟
林智勝,45,31,右投右打,183,108,1982-01-01,2004-06-03,中華民國,La new熊2003年第一輪,一壘手,味全龍二軍
曾豪駒,41,66,右投右打,182,86,1979-11-27,2004-04-13,中華民國,,左外野手,Lamigo
艾弗勒斯,37,0,左投左打,176,80,1977-01-22,2004-03-04,委內瑞拉,,右外野手,Lamigo
吳偲佑,43,46,左投左打,181,93,1982-05-24,2004-05-04,中華民國,,投手,Lamigo
林士欽,50,47,右投右打,177,78,1979-10-05,2005-07-31,中華民國,La new熊2004年第二輪,投手,Lamigo
許傳誠,51,65,右投右打,167,74,1979-10-27,2005-07-30,中華民國,La new熊2004年第三輪,捕手,Lamigo
西爾法,55,0,右投右打,188,90,1977-01-04,2005-03-20,墨西哥,,投手,Lamigo
許志華,49,39,右投右打,178,90,1981-08-10,2005-03-19,中華民國,La new熊2004年第一輪,投手,Lamigo
黃小偉,57,22,右投右打,183,83,1981-07-28,2005-04-26,中華民國,La new熊2003年第十一輪,一壘手,Lamigo
王建強,53,86,右投右打,180,105,1980-03-09,2005-03-17,中華民國,,一壘手,Lamigo
羅德里茲,52,21,右投右打,190,100,1976-10-25,2005-03-17,美國,,三壘手,Lamigo
力拿,58,0,右投右打,180,85,1972-11-25,2005-05-21,多明尼加,,投手,Lamigo
石彥緯,60,30,右投右打,175,85,1981-02-26,2005-07-31,中華民國,,中外野手,兄弟
韋德,56,34,右投右打,195,98,1975-07-08,2005-04-21,美國,,投手,Lamigo
冰奇,59,61,左投左打,192,95,1972-01-20,2005-05-29,美國,,投手,Lamigo
尚雷諾,62,45,右投右打,187,100,1978-12-04,,委內瑞拉,,投手,Lamigo
馬丁尼茲,65,64,右投右打,173,80,1975-11-09,2006-03-21,多明尼加,,投手,Lamigo
霍格斯,54,0,右投右打,186,85,1977-03-25,2005-03-17,多明尼加,,投手,Lamigo
雷鵬,66,46,右投右打,193,95,1974-11-22,2006-04-06,美國,,投手,統一7-ELEVEn獅
恩洛德,61,14,右投右打,183,95,1971-03-04,2005-08-27,多明尼加,,投手,統一7-ELEVEn獅
荒川祐輔,69,47,右投右打,177,77,1978-03-26,,日本,,投手,Lamigo二軍
葉俊麟,74,57,左投左打,186,95,1980-08-14,,中華民國,La new熊2006年第三輪,投手,Lamigo
貝茲,67,26,右投左打,180,90,1973-06-24,2006-03-21,加拿大,,三壘手,Lamigo
黃俊中,63,32,右投右打,180,87,1982-04-25,2006-03-22,中華民國,La new熊2005年第一輪,投手,Lamigo
陳金鋒,64,52,右投右打,183,90,1977-10-28,2006-03-21,中華民國,La new熊2005年第一輪,指定打擊,Lamigo
卡猛士,70,25,右投左打,180,100,1971-10-14,2006-05-21,美國,,左外野手,Lamigo
飛銳,72,50,右投右打,190,96,1971-10-12,2006-08-29,美國,,投手,Lamigo
巴克斯,71,25,右投右打,183,90,1977-02-22,2006-08-13,多明尼加,,投手,Lamigo
猛克,80,42,左投左打,187,107,1974-04-29,2007-04-29,波多黎各,,投手,Lamigo
艾銳達,78,37,左投左打,180,85,1975-02-19,2007-03-18,委內瑞拉,,投手,Lamigo
米那亞,68,34,右投右打,191,90,1977-07-30,,,,投手,Lamigo二軍
鄭余亮,75,48,右投右打,174,88,1983-01-20,2008-07-08,中華民國,La new熊2006年第二輪,投手,米迪亞
馬帝茲,81,49,左投左打,198,117,1980-01-20,2007-05-06,波多黎各,,投手,Lamigo
